mode,case_id,difficulty,field_accuracy,missing_field_accuracy,case_completion_accuracy,triage_success
baseline,case_01,easy,1.0,1.0,1.0,1.0
baseline,case_02,easy,0.8888888888888888,1.0,0.0,1.0
baseline,case_03,medium,0.6666666666666666,0.5714285714285714,0.0,0.0
baseline,case_04,medium,0.6666666666666666,0.5,0.0,0.0
baseline,case_05,hard,0.5555555555555556,0.4,0.0,0.0
baseline,case_06,easy,1.0,1.0,1.0,1.0
baseline,case_07,hard,1.0,1.0,1.0,1.0
baseline,case_08,medium,0.8888888888888888,1.0,0.0,1.0
baseline,case_09,hard,0.4444444444444444,0.6666666666666666,0.0,0.0
baseline,case_10,medium,1.0,1.0,1.0,1.0
baseline,case_11,hard,0.6666666666666666,0.3333333333333333,0.0,0.0
baseline,case_12,easy,0.8888888888888888,1.0,0.0,1.0
llm,case_01,easy,0.7777777777777778,1.0,0.0,1.0
llm,case_02,easy,0.6666666666666666,1.0,0.0,0.0
llm,case_03,medium,0.8888888888888888,1.0,0.0,1.0
llm,case_04,medium,0.6666666666666666,1.0,0.0,0.0
llm,case_05,hard,0.5555555555555556,1.0,0.0,0.0
llm,case_06,easy,0.7777777777777778,1.0,0.0,1.0
llm,case_07,hard,0.7777777777777778,0.6666666666666666,0.0,0.0
llm,case_08,medium,0.8888888888888888,1.0,0.0,1.0
llm,case_09,hard,0.6666666666666666,0.6666666666666666,0.0,0.0
llm,case_10,medium,0.6666666666666666,1.0,0.0,0.0
llm,case_11,hard,0.6666666666666666,1.0,0.0,0.0
llm,case_12,easy,0.6666666666666666,1.0,0.0,0.0
